pid,sawa2,line,offwrist,activity,marker,whitelight,redlight,greenlight,bluelight,wake,interval,starth,day,dayofweek,validday,time
29881087,1,1,0,0,0,4069.94,19.4,429,249,,ACTIVE,0,0,3,0,10:57:00
29881087,1,2,0,72,0,549.51,42.2,50.2,14.9,,ACTIVE,0,0,3,0,10:57:30
29881087,1,3,0,37,0,461.72,30.5,43.2,14.9,,ACTIVE,0,0,3,0,10:58:00
29881087,1,4,0,40,0,0.05,0.0245,0,0,,ACTIVE,0,0,3,0,10:58:30
29881087,1,5,0,1,0,0.05,0.0245,0,0,0,ACTIVE,0,0,3,0,10:59:00
29881087,1,6,0,4,0,0.05,0.0245,0,0,0,ACTIVE,0,0,3,0,10:59:30
29881087,1,7,0,0,0,0.05,0.0245,0,0,0,ACTIVE,0,0,3,0,11:00:00
29881087,1,8,0,0,0,0.03,0.0146,0,0,0,ACTIVE,0,0,3,0,11:00:30
29881087,1,9,0,0,0,0.01,0.0049,0,0,0,ACTIVE,0,0,3,0,11:01:00
29881087,1,10,0,65,0,118.24,2.17,12,7.47,1,ACTIVE,0,0,3,0,11:01:30
29881087,1,11,0,4,0,0,0,0,0,1,ACTIVE,0,0,3,0,11:02:00
29881087,1,12,0,50,0,50.28,5.28,4.34,0.52,1,ACTIVE,0,0,3,0,11:02:30
29881087,1,13,0,173,0,92.13,11.8,7.47,0.674,1,ACTIVE,0,0,3,0,11:03:00
29881087,1,14,0,135,0,354.89,31.2,31.2,11.8,1,ACTIVE,0,0,3,0,11:03:30
29881087,1,15,0,11,0,572.06,42.2,52.4,17.8,1,ACTIVE,0,0,3,0,11:04:00
29881087,1,16,0,2,0,377.66,34,33.3,10.1,1,ACTIVE,0,0,3,0,11:04:30
29881087,1,17,0,150,0,343.84,29.9,30.5,9.68,1,ACTIVE,0,0,3,0,11:05:00
29881087,1,18,0,395,0,174.35,12,16.3,4.74,1,ACTIVE,0,0,3,0,11:05:30
29881087,1,19,0,383,0,140.87,9.89,13.1,3.81,1,ACTIVE,0,0,3,0,11:06:00
29881087,1,20,0,126,0,218.19,14,20.7,5.76,1,ACTIVE,0,0,3,0,11:06:30
29881087,1,21,0,109,0,86.4,7.15,7.8,2.13,1,ACTIVE,0,0,3,0,11:07:00
29881087,1,22,0,135,0,118.42,12,10.3,1.24,1,ACTIVE,0,0,3,0,11:07:30
29881087,1,23,0,0,0,0.12,0.0535,0,0,1,ACTIVE,0,0,3,0,11:08:00
29881087,1,24,0,4,0,0.08,0.0339,0,0,1,ACTIVE,0,0,3,0,11:08:30
29881087,1,25,0,1,0,0.01,0.0049,0,0,1,ACTIVE,0,0,3,0,11:09:00
29881087,1,26,0,0,0,0.01,0.0049,0,0,0,ACTIVE,0,0,3,0,11:09:30
29881087,1,27,0,135,0,0.01,0.0049,0,0,1,ACTIVE,0,0,3,0,11:10:00
29881087,1,28,0,19,0,0.03,0.0146,0,0,1,ACTIVE,0,0,3,0,11:10:30
29881087,1,29,0,0,0,0.38,0.0724,0.0251,0.0023,0,ACTIVE,0,0,3,0,11:11:00
29881087,1,30,0,1,0,0.37,0.065,0.0251,0.0023,0,ACTIVE,0,0,3,0,11:11:30
29881087,1,31,0,0,0,0.37,0.065,0.0251,0.0023,0,ACTIVE,0,0,3,0,11:12:00
29881087,1,32,0,0,0,0.35,0.0559,0.0251,0.0023,0,ACTIVE,0,0,3,0,11:12:30
29881087,1,33,0,0,0,0.1,0.044,0,0,0,ACTIVE,0,0,3,0,11:13:00
29881087,1,34,0,1,0,0.12,0.0535,0,0,0,ACTIVE,0,0,3,0,11:13:30
29881087,1,35,0,0,0,0.3,0.0386,0.0251,0,0,ACTIVE,0,0,3,0,11:14:00
29881087,1,36,0,106,0,235.45,21.1,20.7,7.15,1,ACTIVE,0,0,3,0,11:14:30
29881087,1,37,0,42,0,348.12,25.7,31.9,11.3,1,ACTIVE,0,0,3,0,11:15:00
29881087,1,38,0,0,0,338.07,21.1,31.9,11.3,0,ACTIVE,0,0,3,0,11:15:30
29881087,1,39,0,0,0,344.45,21.1,32.6,11.5,0,ACTIVE,0,0,3,0,11:16:00
29881087,1,40,0,0,0,344.45,21.1,32.6,11.5,0,ACTIVE,0,0,3,0,11:16:30
29881087,1,41,0,35,0,346.79,22.1,32.6,11.8,1,ACTIVE,0,0,3,0,11:17:00
29881087,1,42,0,0,0,373.92,25.7,34.8,11.8,0,ACTIVE,0,0,3,0,11:17:30
29881087,1,43,0,0,0,373.92,25.7,34.8,11.8,0,ACTIVE,0,0,3,0,11:18:00
29881087,1,44,0,4,0,400.65,28,37.1,12.8,0,ACTIVE,0,0,3,0,11:18:30
29881087,1,45,0,14,0,407.77,28,37.9,12.8,1,ACTIVE,0,0,3,0,11:19:00
29881087,1,46,0,10,0,330.32,23.5,30.5,10.1,1,ACTIVE,0,0,3,0,11:19:30
29881087,1,47,0,83,0,197.87,19.4,17,5.63,1,ACTIVE,0,0,3,0,11:20:00
29881087,1,48,0,55,0,312.3,14.9,30.5,11,1,ACTIVE,0,0,3,0,11:20:30
29881087,1,49,0,6,0,333.11,21.6,31.2,11.3,1,ACTIVE,0,0,3,0,11:21:00
29881087,1,50,0,0,0,299.62,19.8,28,9.89,0,ACTIVE,0,0,3,0,11:21:30
29881087,1,51,0,0,0,253.78,17.4,23.5,8.5,0,ACTIVE,0,0,3,0,11:22:00
29881087,1,52,0,1,0,188.36,13.4,17.4,6.01,0,ACTIVE,0,0,3,0,11:22:30
29881087,1,53,0,1,0,163.45,12.3,14.9,5.06,0,ACTIVE,0,0,3,0,11:23:00
29881087,1,54,0,1,0,174.42,13.1,15.9,5.39,0,ACTIVE,0,0,3,0,11:23:30
29881087,1,55,0,4,0,237.56,14,22.5,8.5,1,ACTIVE,0,0,3,0,11:24:00
