pid,sawa2,line,offwrist,activity,marker,whitelight,redlight,greenlight,bluelight,wake,interval,starth,day,dayofweek,validday,time
29883363,1,1,0,78,0,314.9,21.1,29.2,11.3,,ACTIVE,0,0,1,0,9:40:00
29883363,1,2,0,16,0,93.1,8.5,8.14,2.76,,ACTIVE,0,0,1,0,9:40:30
29883363,1,3,0,17,0,292.03,25.7,25.7,9.68,,ACTIVE,0,0,1,0,9:41:00
29883363,1,4,0,10,0,470.72,30.5,44.1,15.6,,ACTIVE,0,0,1,0,9:41:30
29883363,1,5,0,74,0,550.84,37.1,51.3,17.8,1,ACTIVE,0,0,1,0,9:42:00
29883363,1,6,0,127,0,93.98,7.47,8.69,1.26,1,ACTIVE,0,0,1,0,9:42:30
29883363,1,7,0,16,0,384.37,29.9,34.8,12.8,1,ACTIVE,0,0,1,0,9:43:00
29883363,1,8,0,109,0,421.1,26.8,39.6,14,1,ACTIVE,0,0,1,0,9:43:30
29883363,1,9,0,7,0,232.03,7.63,23.5,8.32,1,ACTIVE,0,0,1,0,9:44:00
29883363,1,10,0,30,0,48.83,4.64,4.25,1.24,1,ACTIVE,0,0,1,0,9:44:30
29883363,1,11,0,29,0,53.29,5.51,4.54,1.26,1,ACTIVE,0,0,1,0,9:45:00
29883363,1,12,0,23,0,164.04,10.8,15.3,6.01,1,ACTIVE,0,0,1,0,9:45:30
29883363,1,13,0,95,0,214.4,20.2,18.5,6.7,1,ACTIVE,0,0,1,0,9:46:00
29883363,1,14,0,13,0,160.26,19.8,12.6,6.01,1,ACTIVE,0,0,1,0,9:46:30
29883363,1,15,0,22,0,190.74,12.6,17.8,6.85,1,ACTIVE,0,0,1,0,9:47:00
29883363,1,16,0,1,0,359.7,22.1,34,12,0,ACTIVE,0,0,1,0,9:47:30
29883363,1,17,0,1,0,350.97,21.1,33.3,11.8,0,ACTIVE,0,0,1,0,9:48:00
29883363,1,18,0,0,0,144.49,11,13.1,4.84,0,ACTIVE,0,0,1,0,9:48:30
29883363,1,19,0,1,0,165.79,11.8,15.3,5.63,0,ACTIVE,0,0,1,0,9:49:00
29883363,1,20,0,0,0,85.46,8.69,7.31,2.08,0,ACTIVE,0,0,1,0,9:49:30
29883363,1,21,0,85,0,186.94,14.3,17,5.88,1,ACTIVE,0,0,1,0,9:50:00
29883363,1,22,0,14,0,307.92,21.1,28.6,9.89,1,ACTIVE,0,0,1,0,9:50:30
29883363,1,23,0,23,0,54.74,4.84,4.84,1.5,1,ACTIVE,0,0,1,0,9:51:00
29883363,1,24,0,12,0,267.58,23.5,23.5,8.69,1,ACTIVE,0,0,1,0,9:51:30
29883363,1,25,0,8,0,190.95,13.7,17.4,7.8,0,ACTIVE,0,0,1,0,9:52:00
29883363,1,26,0,33,0,224.44,20.2,20.2,2.42,1,ACTIVE,0,0,1,0,9:52:30
29883363,1,27,0,7,0,309.27,24,28,10.1,1,ACTIVE,0,0,1,0,9:53:00
29883363,1,28,0,81,0,525.8,34.8,49.1,17,1,ACTIVE,0,0,1,0,9:53:30
