pid,sawa2,line,offwrist,activity,marker,whitelight,redlight,greenlight,bluelight,wake,interval,starth,day,dayofweek,validday,time
29915385,1,62,0,25,0,386.66,33.3,34,14,1,ACTIVE,0,0,3,0,11:14:30
29915385,1,63,0,63,0,712.4,45.1,66.6,27.4,1,ACTIVE,0,0,3,0,11:15:00
29915385,1,64,0,1,0,1173.25,48.1,117,39.6,1,ACTIVE,0,0,3,0,11:15:30
29915385,1,65,0,37,0,946.97,51.3,90.1,40.4,1,ACTIVE,0,0,3,0,11:16:00
29915385,1,66,0,89,0,588.54,29.2,57.2,21.1,1,ACTIVE,0,0,3,0,11:16:30
29915385,1,67,0,51,0,597.01,33.3,57.2,20.7,1,ACTIVE,0,0,3,0,11:17:00
29915385,1,68,0,310,0,712.39,39.6,68,26.8,1,ACTIVE,0,0,3,0,11:17:30
29915385,1,69,0,342,0,606.74,38.7,57.2,18.5,1,ACTIVE,0,0,3,0,11:18:00
29915385,1,70,0,81,0,900.6,61,86.3,8.88,1,ACTIVE,0,0,3,0,11:18:30
29915385,1,71,0,100,0,1073.27,82.7,100,9.89,1,ACTIVE,0,0,3,0,11:19:00
29915385,1,72,0,22,0,296.2,33.3,25.1,2.47,1,ACTIVE,0,0,3,0,11:19:30
29915385,1,73,0,46,0,214.51,13.4,20.2,7.15,1,ACTIVE,0,0,3,0,11:20:00
29915385,1,74,0,104,0,773.6,45.1,75.8,9.27,1,ACTIVE,0,0,3,0,11:20:30
29915385,1,75,0,176,0,342.97,29.9,30.5,8.88,1,ACTIVE,0,0,3,0,11:21:00
29915385,1,76,0,93,0,879.78,58.4,84.5,9.89,1,ACTIVE,0,0,3,0,11:21:30
29915385,1,77,0,35,0,932.58,45.1,92.1,24,1,ACTIVE,0,0,3,0,11:22:00
29915385,1,78,0,79,0,179.76,12.6,16.6,5.76,1,ACTIVE,0,0,3,0,11:22:30
29915385,1,79,0,93,0,219.69,12.6,21.1,6.42,1,ACTIVE,0,0,3,0,11:23:00
29915385,1,80,0,93,0,1251.88,58.4,122,49.1,1,ACTIVE,0,0,3,0,11:23:30
29915385,1,81,0,15,0,345.23,30.5,31.2,4.25,1,ACTIVE,0,0,3,0,11:24:00
29915385,1,82,0,51,0,96.67,5.51,9.27,3.01,1,ACTIVE,0,0,3,0,11:24:30
29915385,1,83,0,41,0,174.32,5.06,17.8,7,1,ACTIVE,0,0,3,0,11:25:00
29915385,1,84,0,104,0,110.06,9.07,9.89,3.07,1,ACTIVE,0,0,3,0,11:25:30
29915385,1,85,0,71,0,74.27,7.31,6.56,0.646,1,ACTIVE,0,0,3,0,11:26:00
29915385,1,86,0,28,0,238.36,19.4,22.1,2.22,1,ACTIVE,0,0,3,0,11:26:30
