time,Axis1,Axis2,Axis3,Steps,HR,Inclinometer Off,Inclinometer Standing,Inclinometer Sitting,Inclinometer Lying,Vector Magnitude,pid,pitch,roll,yaw
2020-Jan-01 13:24:40,0.8,0.0,5.6,0.0,69.2,0.0,0.0,1.0,0.0,5.656000000000001,2,8.13010235415598,8.13010235415598,8.13010235415598
2020-Jan-01 13:24:45,0.0,0.0,8.6,0.0,67.0,0.0,0.8,0.2,0.0,8.6,2,0.0,0.0,0.0
2020-Jan-01 13:24:50,0.0,0.0,0.0,0.0,64.0,0.0,1.0,0.0,0.0,0.0,2,0.0,0.0,0.0
2020-Jan-01 13:24:55,0.0,0.0,0.0,0.0,63.333333333333336,0.0,0.0,1.0,0.0,0.0,2,0.0,0.0,0.0
2020-Jan-01 13:25:00,33.8,4.0,19.4,0.0,65.6,0.0,0.6,0.4,0.0,41.374,2,59.62808326159053,59.62808326159053,59.62808326159053
2020-Jan-01 13:25:05,0.2,0.0,0.0,0.0,66.0,0.0,0.0,0.0,1.0,0.2,2,90.0,90.0,90.0
2020-Jan-01 13:25:10,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,1.0,0.0,2,0.0,0.0,0.0
2020-Jan-01 13:25:15,0.0,0.8,1.2,0.0,65.0,0.0,0.0,0.0,1.0,2.0,2,0.0,0.0,0.0
2020-Jan-01 13:25:20,0.0,0.5333333333333334,0.8,0.0,70.33333333333333,0.0,0.0,0.0,1.0,1.3333333333333335,2,0.0,0.0,0.0
2020-Jan-01 13:25:25,0.0,0.2666666666666667,0.4,0.0,75.66666666666667,0.0,0.0,0.0,1.0,0.6666666666666667,2,0.0,0.0,0.0
2020-Jan-01 13:25:30,0.0,0.0,0.0,0.0,81.0,0.0,0.0,0.0,1.0,0.0,2,0.0,0.0,0.0
2020-Jan-01 13:25:35,0.0,0.0,0.0,0.0,75.4,0.0,0.0,0.0,1.0,0.0,2,0.0,0.0,0.0
2020-Jan-01 13:25:40,0.0,0.0,0.0,0.0,71.8,0.0,0.0,0.0,1.0,0.0,2,0.0,0.0,0.0
2020-Jan-01 13:25:45,0.0,0.0,0.0,0.0,69.8,0.0,0.0,0.0,1.0,0.0,2,0.0,0.0,0.0
2020-Jan-01 13:25:50,0.0,0.0,0.0,0.0,68.2,0.0,0.0,0.0,1.0,0.0,2,0.0,0.0,0.0
2020-Jan-01 13:25:55,0.0,0.0,0.0,0.0,68.2,0.0,0.0,0.0,1.0,0.0,2,0.0,0.0,0.0
2020-Jan-01 13:26:00,0.25,0.0,0.0,0.0,70.475,0.0,0.0,0.0,1.0,0.25,2,90.0,90.0,90.0
2020-Jan-01 13:26:05,0.5,0.0,0.0,0.0,72.75,0.0,0.0,0.0,1.0,0.5,2,90.0,90.0,90.0
2020-Jan-01 13:26:10,28.4,23.8,47.6,0.2,71.6,0.0,0.4,0.0,0.6,61.062,2,28.08660348319671,28.08660348319671,28.08660348319671
2020-Jan-01 13:26:15,1.0,4.8,19.6,0.0,72.2,0.0,0.0,1.0,0.0,20.344,2,2.8370279385230326,2.8370279385230326,2.8370279385230326
2020-Jan-01 13:26:20,29.2,33.6,26.8,0.2,68.8,0.0,0.4,0.6,0.0,54.812,2,34.19220940537423,34.19220940537423,34.19220940537423
2020-Jan-01 13:26:25,33.4,28.8,54.2,0.2,68.0,0.0,0.6,0.4,0.0,72.128,2,28.55422963131607,28.55422963131607,28.55422963131607
2020-Jan-01 13:26:30,0.0,0.0,2.3333333333333335,0.0,69.33333333333333,0.0,0.0,1.0,0.0,2.3333333333333335,2,0.0,0.0,0.0
2020-Jan-01 13:26:35,0.0,0.0,0.0,0.0,79.0,0.0,0.0,1.0,0.0,0.0,2,0.0,0.0,0.0
2020-Jan-01 13:26:40,0.0,0.0,0.0,0.0,76.0,0.0,0.0,1.0,0.0,0.0,2,0.0,0.0,0.0
2020-Jan-01 13:26:45,0.0,0.0,0.0,0.0,72.4,0.0,0.0,1.0,0.0,0.0,2,0.0,0.0,0.0
2020-Jan-01 13:26:50,0.0,1.8,0.0,0.0,68.6,0.0,0.0,1.0,0.0,1.8,2,0.0,0.0,0.0
2020-Jan-01 13:26:55,0.0,0.8,0.0,0.0,67.4,0.0,0.0,1.0,0.0,0.8,2,0.0,0.0,0.0
2020-Jan-01 13:27:00,15.0,36.0,82.4,0.2,69.2,0.0,0.4,0.6,0.0,92.132,2,9.470499883779086,9.470499883779086,9.470499883779086
2020-Jan-01 13:27:05,63.0,35.0,142.0,1.0,73.0,0.0,1.0,0.0,0.0,159.24,2,23.304920955204086,23.304920955204086,23.304920955204086
2020-Jan-01 13:27:10,0.0,2.6666666666666665,30.666666666666668,0.0,74.0,0.0,0.0,1.0,0.0,30.823333333333334,2,0.0,0.0,0.0
2020-Jan-01 13:27:15,0.0,0.0,3.6,0.0,77.2,0.0,0.0,1.0,0.0,3.6,2,0.0,0.0,0.0
2020-Jan-01 13:27:20,16.6,24.4,77.8,0.4,79.0,0.0,0.6,0.4,0.0,83.55,2,11.507565744804165,11.507565744804165,11.507565744804165
2020-Jan-01 13:27:25,25.4,41.8,55.6,0.2,80.6,0.0,0.6,0.4,0.0,80.33600000000001,2,20.059774206802572,20.059774206802572,20.059774206802572
2020-Jan-01 13:27:30,13.0,16.2,50.6,0.2,80.8,0.0,0.6,0.4,0.0,56.172000000000004,2,13.749149963977219,13.749149963977219,13.749149963977219
2020-Jan-01 13:27:35,19.5,4.0,52.25,0.5,76.25,0.0,1.0,0.0,0.0,56.91,2,20.41108484489333,20.41108484489333,20.41108484489333
2020-Jan-01 13:27:40,9.75,2.0,28.525,0.25,78.825,0.0,0.5,0.5,0.0,30.854999999999997,2,18.82775263007195,18.82775263007195,18.82775263007195
2020-Jan-01 13:27:45,0.0,0.0,4.8,0.0,81.4,0.0,0.0,1.0,0.0,4.8,2,0.0,0.0,0.0
2020-Jan-01 13:27:50,2.8,0.0,2.4,0.2,76.0,0.0,0.2,0.8,0.0,3.688,2,49.39870535499554,49.39870535499554,49.39870535499554
2020-Jan-01 13:27:55,31.4,44.4,59.0,0.4,74.6,0.0,0.6,0.4,0.0,87.576,2,23.037293906512108,23.037293906512108,23.037293906512108
2020-Jan-01 13:28:00,0.0,0.0,0.0,0.0,75.2,0.0,0.0,1.0,0.0,0.0,2,0.0,0.0,0.0
