ts,ENMO,MET_Sed,MET_MVPA,MET_VigPA,min_MVPA,min_VigPA,min_LPA,TST,WASO,AwaNo,SEff,w_length,s_length,dfa_ENMO_sleep,dfa_ENMO_wake,se_HR_sleep,se_HRV_wake,ENMO_SSA_per,mean_hr_SSA_per,ENMO_phisleep_delay,mean_hr_phisleep_delay,sleep_onset_t,sleep_offset_t,ENMO_SSA_phi_t,mean_hr_SSA_phi_t
2005-06-20,24787.954500373064,190,121.150347,0.0,48,0,723,0 days 07:23:00.000000000,0.0,0.0,1.0,997,443,0.8977849091717465,1.1050606634576414,0.5827604143915092,1.2837242518813254,1142.0,1154.0,0 days 09:29:00.000000000,0 days 10:02:00.000000000,0 days 23:01:00.000000000,1 days 06:24:00.000000000,0 days 13:32:00.000000000,0 days 12:59:00.000000000
2005-06-21,25666.752928781065,260,64.27344930000001,0.0,24,0,677,0 days 07:33:00.000000000,0.0,0.0,1.0,987,453,0.9066441221623154,1.0491466209749225,0.6019163282834931,0.6427596268850353,1465.0,1565.0,0 days 09:04:00.000000000,0 days 07:57:00.000000000,0 days 23:01:00.000000000,1 days 06:34:00.000000000,0 days 13:57:00.000000000,0 days 15:04:00.000000000
2005-06-22,25287.28309240572,330,73.2981202,0.0,29,0,602,0 days 07:03:00.000000000,0.0,0.0,1.0,1017,423,1.0922355725845436,1.0671444550154274,0.6095301793171356,1.2116408968600216,1607.0,1344.0,0 days 06:29:00.000000000,0 days 09:45:00.000000000,0 days 23:13:00.000000000,1 days 06:16:00.000000000,0 days 16:44:00.000000000,0 days 13:28:00.000000000
2005-06-23,27687.99531178195,276,136.594077,0.0,55,0,535,,,,,532,,,1.1355474171374165,,inf,1346.0,1502.0,,,,,0 days 15:10:00.000000000,0 days 14:30:00.000000000
2005-03-21,5842.644392649259,780,30.927430399999995,0.0,13,0,104,0 days 07:03:00.000000000,0.0,0.0,1.0,119,422,1.02806491030569,1.3797354614460957,0.7184078832134371,1.2426516588910472,,,0 days 10:54:00.000000000,0 days 10:08:00.000000000,0 days 23:32:00.000000000,1 days 06:35:00.000000000,0 days 12:38:00.000000000,0 days 13:24:00.000000000
2005-03-22,14376.654952951734,510,141.44999840000003,0.0,57,0,394,0 days 05:36:00.000000000,0.0,0.0,1.0,1104,336,0.9996963096079705,1.0324732701409731,0.6548635282280042,1.591287025189007,1609.0,1682.0,0 days 10:16:00.000000000,0 days 08:17:00.000000000,1 days 01:43:00.000000000,1 days 07:19:00.000000000,0 days 15:27:00.000000000,0 days 17:26:00.000000000
2005-03-23,8748.764168647793,690,118.0644624,0.0,47,0,224,0 days 06:44:00.000000000,0.0,0.0,1.0,1036,404,1.0278447086425182,1.0352845606627894,0.765988359198257,1.5610789996190124,1233.0,1074.0,0 days 12:08:00.000000000,0 days 12:48:00.000000000,1 days 00:08:00.000000000,1 days 06:52:00.000000000,0 days 12:00:00.000000000,0 days 11:20:00.000000000
2005-03-24,11911.344364599508,582,56.06806159999999,0.0,22,0,357,0 days 06:41:00.000000000,0.0,0.0,1.0,1058,401,0.9474461358312721,1.0867648067816422,0.9322910732205962,1.69609474896975,1569.0,1646.0,0 days 12:03:00.000000000,0 days 11:26:00.000000000,1 days 02:12:00.000000000,1 days 08:53:00.000000000,0 days 14:09:00.000000000,0 days 14:46:00.000000000
2005-03-25,313.7565764659074,204,0.0,0.0,0,0,13,,,,,104,,,1.5523973362751948,,inf,1226.0,1190.0,,,,,0 days 10:35:00.000000000,0 days 10:36:00.000000000
2012-09-03,28041.580935694223,440,101.62523269999997,0.0,35,0,251,0 days 14:05:00.000000000,78.0,4.0,0.9076923076923077,802,844,0.9269206583954889,1.299755977345555,0.4078070760338167,1.360693499551668,,,0 days 10:33:00.000000000,0 days 09:04:00.000000000,0 days 21:34:00.000000000,1 days 11:39:00.000000000,0 days 11:01:00.000000000,0 days 12:30:00.000000000
2012-09-04,39245.108725269965,652,151.82655539999996,0.0,52,0,257,0 days 10:29:00.000000000,198.0,4.0,0.685214626391097,598,629,0.9012189626945077,1.1772865900880365,0.4641568938532326,1.3210501236509835,1884.0,1853.0,0 days 06:36:00.000000000,0 days 05:38:00.000000000,1 days 01:01:00.000000000,1 days 11:30:00.000000000,0 days 18:25:00.000000000,0 days 19:23:00.000000000
2012-09-05,27474.083709106457,668,40.9450913,0.0,15,0,278,0 days 14:01:00.000000000,341.0,12.0,0.5945303210463734,651,841,0.9138995520680747,1.0860178324571672,0.4114700345123501,1.5227169376535683,1213.0,1446.0,0 days 06:50:00.000000000,0 days 01:59:00.000000000,0 days 21:28:00.000000000,1 days 11:29:00.000000000,0 days 14:38:00.000000000,0 days 19:29:00.000000000
2012-09-06,33392.4206067042,650,53.4969938,0.0,20,0,291,0 days 13:05:00.000000000,277.0,6.0,0.6471337579617834,813,785,1.018299923218367,1.035970732377739,0.47735679619193705,1.481416361292761,1381.0,762.0,0 days 08:04:00.000000000,0 days 13:32:00.000000000,0 days 21:43:00.000000000,1 days 10:48:00.000000000,0 days 13:39:00.000000000,0 days 08:11:00.000000000
2012-09-07,24281.16581981417,710,40.942576800000005,0.0,17,0,234,0 days 10:27:00.000000000,181.0,8.0,0.7113237639553429,834,627,1.1634502767393047,0.9611207437838165,0.567829682376367,inf,1474.0,1847.0,0 days 07:25:00.000000000,0 days 06:40:00.000000000,0 days 21:38:00.000000000,1 days 08:05:00.000000000,0 days 14:13:00.000000000,0 days 14:58:00.000000000
2012-09-08,27810.28503202878,450,50.8503548,0.0,22,0,489,0 days 07:22:00.000000000,0.0,0.0,1.0,,442,1.1594863766693015,,0.5467003357050648,,1499.0,1443.0,0 days 08:23:00.000000000,0 days 08:34:00.000000000,0 days 23:35:00.000000000,1 days 06:57:00.000000000,0 days 15:12:00.000000000,0 days 15:01:00.000000000
2012-09-09,4955.277067638136,13,13.311762700000001,0.0,6,0,82,,,,,,,,,,,1046.0,1059.0,,,,,0 days 08:38:00.000000000,0 days 08:40:00.000000000
