time,Axis1,Axis2,Axis3,Steps,HR,Inclinometer Off,Inclinometer Standing,Inclinometer Sitting,Inclinometer Lying,Vector Magnitude,pid,pitch,roll,yaw
2020-Jan-01 11:31:25,21.6,47.4,87.4,0.4,77.2,0.0,0.8,0.2,0.0,113.08399999999999,1,12.256884142201768,12.256884142201768,12.256884142201768
2020-Jan-01 11:31:30,11.2,11.6,58.8,0.2,79.4,0.0,1.0,0.0,0.0,63.306,1,10.585025597099266,10.585025597099266,10.585025597099266
2020-Jan-01 11:31:35,0.0,0.0,22.6,0.0,80.0,0.0,0.8,0.2,0.0,22.6,1,0.0,0.0,0.0
2020-Jan-01 11:31:40,10.6,12.6,57.8,0.4,76.2,0.0,0.8,0.2,0.0,60.984,1,10.158622429568654,10.158622429568654,10.158622429568654
2020-Jan-01 11:31:45,30.5,56.0,85.5,0.5,76.0,0.0,1.0,0.0,0.0,108.86500000000001,1,16.615855720839793,16.615855720839793,16.615855720839793
2020-Jan-01 11:31:50,27.0,50.0,33.0,0.5,81.0,0.0,1.0,0.0,0.0,65.83,1,24.260569573195014,24.260569573195014,24.260569573195014
2020-Jan-01 11:31:55,34.2,24.2,82.4,0.4,79.6,0.0,1.0,0.0,0.0,95.214,1,21.713900903288458,21.713900903288458,21.713900903288458
2020-Jan-01 11:32:00,5.2,31.0,52.0,0.2,79.2,0.0,0.2,0.8,0.0,60.965999999999994,1,4.90935373535206,4.90935373535206,4.90935373535206
2020-Jan-01 11:32:05,1.2,0.0,22.4,0.0,79.0,0.0,0.0,1.0,0.0,23.6,1,3.066485501125894,3.066485501125894,3.066485501125894
2020-Jan-01 11:32:10,0.0,0.0,2.6,0.0,79.8,0.0,0.0,1.0,0.0,2.6,1,0.0,0.0,0.0
2020-Jan-01 11:32:15,0.0,0.0,2.2,0.0,82.2,0.0,0.0,1.0,0.0,2.2,1,0.0,0.0,0.0
2020-Jan-01 11:32:20,1.25,1.75,4.85,0.0,82.225,0.0,0.125,0.875,0.0,6.89125,1,13.627467116475914,13.627467116475914,13.627467116475914
2020-Jan-01 11:32:25,2.5,3.5,7.5,0.0,82.25,0.0,0.25,0.75,0.0,11.5825,1,16.80752146828809,16.80752146828809,16.80752146828809
2020-Jan-01 11:32:30,19.2,6.2,37.0,0.0,82.2,0.0,0.6,0.4,0.0,44.162,1,27.102617622709154,27.102617622709154,27.102617622709154
