,acc_sleepEfficiency,macrof1_sleepEfficiency,mcc_sleepEfficiency,average_global,test_loss,sleep_metrics,expname,dataset,ntrials
0,0.8091517857142857,0.6512780142848764,0.5595096872784624,0.5595096872784624,0.4430819094270452,sleepEfficiency,MyNetMPL_EFF_hchs_n500,hchs,500
1,0.8102678571428571,0.688047102060296,0.5690804389891505,0.5690804389891505,0.4508915897333629,sleepEfficiency,MyNetMPL_EFF_hchs_n500,hchs,500
2,0.8069196428571429,0.6849560494695339,0.5616803932683635,0.5616803932683635,0.4710494904650176,sleepEfficiency,MyNetMPL_EFF_hchs_n500,hchs,500
3,0.8158482142857143,0.6828688334942861,0.5769227258987031,0.5769227258987031,0.4356037992464902,sleepEfficiency,MyNetMPL_EFF_hchs_n500,hchs,500
4,0.7868303571428571,0.4986676199142077,0.5124928189966503,0.5124928189966503,0.46768549961465494,sleepEfficiency,MyNetMPL_EFF_hchs_n500,hchs,500
5,0.8069196428571429,0.6827860084459766,0.5533641001626534,0.5533641001626534,0.4508043276479392,sleepEfficiency,MyNetMPL_EFF_hchs_n500,hchs,500
6,0.8080357142857143,0.5115122170637637,0.552799384263198,0.552799384263198,0.450081944584071,sleepEfficiency,MyNetMPL_EFF_hchs_n500,hchs,500
7,0.8069196428571429,0.5530196771185363,0.5557444878922427,0.5557444878922427,0.45288694055310674,sleepEfficiency,MyNetMPL_EFF_hchs_n500,hchs,500
8,0.7946428571428571,0.500815120103243,0.522403225967046,0.522403225967046,0.49499228563123465,sleepEfficiency,MyNetMPL_EFF_hchs_n500,hchs,500
9,0.7979910714285714,0.5063203599628832,0.5348479551285362,0.5348479551285362,0.4607915482847031,sleepEfficiency,MyNetMPL_EFF_hchs_n500,hchs,500
