,acc_combined,macrof1_combined,mcc_combined,average_global,test_loss,sleep_metrics,expname,dataset,ntrials
0,0.6450892857142857,0.5954967149473697,0.4138268007241773,0.4138268007241773,0.7214363003089028,combined,MyTwoStepsNetLSTM_COM_mesa_n500,mesa,500
1,0.6473214285714286,0.6148129024556166,0.430653503180713,0.430653503180713,0.7424190539648043,combined,MyTwoStepsNetLSTM_COM_mesa_n500,mesa,500
2,0.6372767857142857,0.5985480049217374,0.4049459506844807,0.4049459506844807,0.7441768092279103,combined,MyTwoStepsNetLSTM_COM_mesa_n500,mesa,500
3,0.6540178571428571,0.6123749123719385,0.4266068732133907,0.4266068732133907,0.7485001247560171,combined,MyTwoStepsNetLSTM_COM_mesa_n500,mesa,500
4,0.6428571428571429,0.4577940577940578,0.3790430735725361,0.3790430735725361,0.774537490345286,combined,MyTwoStepsNetLSTM_COM_mesa_n500,mesa,500
5,0.6026785714285714,0.5539472038692972,0.36524515150833825,0.36524515150833825,0.780216575858047,combined,MyTwoStepsNetLSTM_COM_mesa_n500,mesa,500
6,0.5859375,0.3972375801282051,0.2904756031743302,0.2904756031743302,0.8081937115621586,combined,MyTwoStepsNetLSTM_COM_mesa_n500,mesa,500
7,0.6484375,0.6026043512751701,0.41625659817339,0.41625659817339,0.7505756221764422,combined,MyTwoStepsNetLSTM_COM_mesa_n500,mesa,500
8,0.6283482142857143,0.566774794986879,0.3764484462230577,0.3764484462230577,0.7546008975722925,combined,MyTwoStepsNetLSTM_COM_mesa_n500,mesa,500
9,0.6160714285714286,0.5263889207265683,0.350366042439709,0.350366042439709,0.784565534461736,combined,MyTwoStepsNetLSTM_COM_mesa_n500,mesa,500
