,acc_combined,macrof1_combined,mcc_combined,average_global,test_loss,sleep_metrics,expname,dataset,ntrials
0,0.6651785714285714,0.5979151061173532,0.4347430880599653,0.4347430880599653,0.7365762490283514,combined,MyTwoStepsNetCNNLSTM_COM_mesa_n500,mesa,500
1,0.6607142857142857,0.6189301204252236,0.44299852972557546,0.44299852972557546,0.7167544450957245,combined,MyTwoStepsNetCNNLSTM_COM_mesa_n500,mesa,500
2,0.6361607142857143,0.596534782642221,0.4012716870732421,0.4012716870732421,0.7461920061996986,combined,MyTwoStepsNetCNNLSTM_COM_mesa_n500,mesa,500
3,0.6595982142857143,0.6260664768314756,0.44604870178145223,0.44604870178145223,0.71340407216492,combined,MyTwoStepsNetCNNLSTM_COM_mesa_n500,mesa,500
4,0.6395089285714286,0.5914280916911173,0.4075196383599875,0.4075196383599875,0.7346178823749202,combined,MyTwoStepsNetCNNLSTM_COM_mesa_n500,mesa,500
5,0.6473214285714286,0.6147490947907592,0.4260912427613196,0.4260912427613196,0.7281135703238085,combined,MyTwoStepsNetCNNLSTM_COM_mesa_n500,mesa,500
6,0.6395089285714286,0.5898872084081005,0.40902208386004296,0.40902208386004296,0.7550739754496846,combined,MyTwoStepsNetCNNLSTM_COM_mesa_n500,mesa,500
7,0.6607142857142857,0.6260195702383459,0.44044521574157175,0.44044521574157175,0.7165068817738397,combined,MyTwoStepsNetCNNLSTM_COM_mesa_n500,mesa,500
8,0.6517857142857143,0.6047036888009646,0.4272909730095228,0.4272909730095228,0.7239602781832468,combined,MyTwoStepsNetCNNLSTM_COM_mesa_n500,mesa,500
9,0.6417410714285714,0.5727651382007254,0.3951177879697551,0.3951177879697551,0.7490537101724521,combined,MyTwoStepsNetCNNLSTM_COM_mesa_n500,mesa,500
