,acc_combined,macrof1_combined,mcc_combined,average_global,test_loss,sleep_metrics,expname,dataset,ntrials
0,0.6517857142857143,0.6135774098321605,0.43044652327063593,0.43044652327063593,0.7302529560049235,combined,MyTwoStepsNetCNNLSTM_COM_hchs_n500,hchs,500
1,0.6618303571428571,0.629212515337989,0.4423893622468465,0.4423893622468465,0.7351221440106883,combined,MyTwoStepsNetCNNLSTM_COM_hchs_n500,hchs,500
2,0.65625,0.615051919888333,0.43035306253251454,0.43035306253251454,0.8665292179541205,combined,MyTwoStepsNetCNNLSTM_COM_hchs_n500,hchs,500
3,0.6495535714285714,0.6083136935617671,0.4224477685930996,0.4224477685930996,0.7367418443505744,combined,MyTwoStepsNetCNNLSTM_COM_hchs_n500,hchs,500
4,0.6227678571428571,0.5661225142316366,0.3731451995569088,0.3731451995569088,0.9324893269953094,combined,MyTwoStepsNetCNNLSTM_COM_hchs_n500,hchs,500
5,0.6383928571428571,0.5903137047622488,0.4000181156343715,0.4000181156343715,0.8344774041637658,combined,MyTwoStepsNetCNNLSTM_COM_hchs_n500,hchs,500
6,0.6372767857142857,0.6039947183211981,0.40107044191980407,0.40107044191980407,0.8533902430460375,combined,MyTwoStepsNetCNNLSTM_COM_hchs_n500,hchs,500
7,0.6283482142857143,0.4460579319922151,0.35226821347209425,0.35226821347209425,0.7936388727961445,combined,MyTwoStepsNetCNNLSTM_COM_hchs_n500,hchs,500
8,0.6506696428571429,0.5978670518680138,0.42051270768884086,0.42051270768884086,0.8848749694223532,combined,MyTwoStepsNetCNNLSTM_COM_hchs_n500,hchs,500
9,0.6484375,0.6108619743316251,0.4226901487900715,0.4226901487900715,0.7265164099564391,combined,MyTwoStepsNetCNNLSTM_COM_hchs_n500,hchs,500
