,acc_sleepEfficiency,macrof1_sleepEfficiency,mcc_sleepEfficiency,acc_awakening,macrof1_awakening,mcc_awakening,acc_totalSleepTime,macrof1_totalSleepTime,mcc_totalSleepTime,acc_combined,macrof1_combined,mcc_combined,average_global,test_loss,sleep_metrics,expname,dataset,ntrials
0,0.7916666666666666,0.5049924625343619,0.5288477298127682,0.5924479166666666,0.4883517305094069,0.28173274549776084,0.5455729166666666,0.5313792904126067,0.31027847110189843,0.6432291666666666,0.6033607027806903,0.4132051372942775,0.38351602092667625,0.7649837947520736,all,MyTwoStepsNetCNNLSTM_ALL_mesa_n500,mesa,500
1,0.7825520833333334,0.5062503578449148,0.5245836685454478,0.5911458333333334,0.47756871138298135,0.2788552618922207,0.51953125,0.4599631816666023,0.2866666678485451,0.6328125,0.4522830522226882,0.3662961300296232,0.36410043207895926,0.7839542426251712,all,MyTwoStepsNetCNNLSTM_ALL_mesa_n500,mesa,500
2,0.7747395833333334,0.4910772391276435,0.49212132520129853,0.59765625,0.517352127527799,0.28997963879911726,0.5703125,0.5584716246799903,0.3490531648478315,0.65234375,0.6227427598351801,0.4377649010209986,0.3922297574673114,0.7539036389327628,all,MyTwoStepsNetCNNLSTM_ALL_mesa_n500,mesa,500
3,0.78125,0.5036895670063758,0.49514073009117154,0.59765625,0.5075495725150772,0.28782379641915534,0.6015625,0.582344686188687,0.3967082825129394,0.6627604166666666,0.6335142126117669,0.4434991966890573,0.4057930014280809,0.7266824641662398,all,MyTwoStepsNetCNNLSTM_ALL_mesa_n500,mesa,500
4,0.7643229166666666,0.4795222758990875,0.4626440188602749,0.5794270833333334,0.4173552387478561,0.23045692582470217,0.5442708333333334,0.4848610701314821,0.3295134544540675,0.6653645833333334,0.6252136752136752,0.4474829167801538,0.3675243289797996,0.7599840135288137,all,MyTwoStepsNetCNNLSTM_ALL_mesa_n500,mesa,500
5,0.7682291666666666,0.49042969540359455,0.48302460434933747,0.5924479166666666,0.48945869352616594,0.27447714169463105,0.5572916666666666,0.5508623920267839,0.32501117457188233,0.6380208333333334,0.4562100725063689,0.3757979909480232,0.36457772789096854,0.7645045301523298,all,MyTwoStepsNetCNNLSTM_ALL_mesa_n500,mesa,500
6,0.78515625,0.5007912837726297,0.516030431668354,0.60546875,0.4974146723894181,0.3129630087611899,0.5390625,0.5055123815403934,0.30976738886688426,0.6380208333333334,0.596179559736007,0.40348277592042875,0.3855609013042142,0.7628968868385041,all,MyTwoStepsNetCNNLSTM_ALL_mesa_n500,mesa,500
7,0.78515625,0.5015209860913296,0.516489757198212,0.6041666666666666,0.5243326883225603,0.30418351030435825,0.5390625,0.4905919730865764,0.30889306564189367,0.6419270833333334,0.45934459203531725,0.3830876928298064,0.3781635064935676,0.7593340727167837,all,MyTwoStepsNetCNNLSTM_ALL_mesa_n500,mesa,500
8,0.7955729166666666,0.6676729559748429,0.5514530479209246,0.62109375,0.5592200169958911,0.34160208436066253,0.671875,0.6564397508535347,0.5043979273815187,0.67578125,0.6465728661335141,0.46613741644706536,0.4658976190275428,0.6849719946730123,all,MyTwoStepsNetCNNLSTM_ALL_mesa_n500,mesa,500
9,0.7864583333333334,0.601802032516912,0.5173781839476613,0.5859375,0.472437596642368,0.2633506544367213,0.5611979166666666,0.5451602229188436,0.33131671305971067,0.66015625,0.6105781020785735,0.43359811576870266,0.38641091680319894,0.7587547111838012,all,MyTwoStepsNetCNNLSTM_ALL_mesa_n500,mesa,500
