,acc_awakening,macrof1_awakening,mcc_awakening,average_global,test_loss,sleep_metrics,expname,dataset,ntrials
0,0.5611979166666666,0.3521027721433401,0.18579448533813547,0.18579448533813547,0.8797009664660811,awakening,MyTwoStepsNetLSTM_AWE_hchs_n500,hchs,500
1,0.5260416666666666,0.22980659840728102,0.0,0.0,0.884397521538809,awakening,MyTwoStepsNetLSTM_AWE_hchs_n500,hchs,500
2,0.5572916666666666,0.3354746216445362,0.16925346394823457,0.16925346394823457,0.8790780955047875,awakening,MyTwoStepsNetLSTM_AWE_hchs_n500,hchs,500
3,0.5260416666666666,0.22980659840728102,0.0,0.0,0.8857188626013333,awakening,MyTwoStepsNetLSTM_AWE_hchs_n500,hchs,500
4,0.5572916666666666,0.3354646206308611,0.16903044469334488,0.16903044469334488,0.8790695917535412,awakening,MyTwoStepsNetLSTM_AWE_hchs_n500,hchs,500
5,0.5716145833333334,0.37692760762475913,0.22319723928306348,0.22319723928306348,0.8669664031719216,awakening,MyTwoStepsNetLSTM_AWE_hchs_n500,hchs,500
6,0.55078125,0.3441124287835066,0.16600294113105313,0.16600294113105313,0.9099504668199224,awakening,MyTwoStepsNetLSTM_AWE_hchs_n500,hchs,500
7,0.5572916666666666,0.34919012622685336,0.17829056294499981,0.17829056294499981,0.890244197067091,awakening,MyTwoStepsNetLSTM_AWE_hchs_n500,hchs,500
8,0.6015625,0.49283532275902475,0.3082406322038241,0.3082406322038241,0.8473626996224134,awakening,MyTwoStepsNetLSTM_AWE_hchs_n500,hchs,500
9,0.5703125,0.36763781658707545,0.2131199699231133,0.2131199699231133,0.8611116968624696,awakening,MyTwoStepsNetLSTM_AWE_hchs_n500,hchs,500
