,acc_awakening,macrof1_awakening,mcc_awakening,average_global,test_loss,sleep_metrics,expname,dataset,ntrials
0,0.6015625,0.45749462469973684,0.27933223480012714,0.27933223480012714,0.8376999062631432,awakening,MyTwoStepsNetLSTM_AWE_mesa_n500,mesa,500
1,0.5691964285714286,0.33690007693218127,0.16639590307150853,0.16639590307150853,0.8570940598886914,awakening,MyTwoStepsNetLSTM_AWE_mesa_n500,mesa,500
2,0.5982142857142857,0.43550435681583216,0.2824682852120347,0.2824682852120347,0.8357820268458864,awakening,MyTwoStepsNetLSTM_AWE_mesa_n500,mesa,500
3,0.5870535714285714,0.370057979064449,0.2220500950565167,0.2220500950565167,0.8370544462906937,awakening,MyTwoStepsNetLSTM_AWE_mesa_n500,mesa,500
4,0.5814732142857143,0.40393472825371757,0.25533974958687683,0.25533974958687683,0.8606171236902923,awakening,MyTwoStepsNetLSTM_AWE_mesa_n500,mesa,500
5,0.609375,0.4993883672912853,0.30033230607265815,0.30033230607265815,0.8481556069997319,awakening,MyTwoStepsNetLSTM_AWE_mesa_n500,mesa,500
6,0.5825892857142857,0.3684432006349814,0.21331463497951875,0.21331463497951875,0.8616316301523465,awakening,MyTwoStepsNetLSTM_AWE_mesa_n500,mesa,500
7,0.5904017857142857,0.4528036197178999,0.25187921600701685,0.25187921600701685,0.8443680772333482,awakening,MyTwoStepsNetLSTM_AWE_mesa_n500,mesa,500
8,0.5982142857142857,0.48437245692444514,0.26266079816814086,0.26266079816814086,0.8381288480214335,awakening,MyTwoStepsNetLSTM_AWE_mesa_n500,mesa,500
9,0.6004464285714286,0.47236869328556647,0.27308734876301927,0.27308734876301927,0.834090706988947,awakening,MyTwoStepsNetLSTM_AWE_mesa_n500,mesa,500
