,acc_totalSleepTime,macrof1_totalSleepTime,mcc_totalSleepTime,average_global,test_loss,sleep_metrics,expname,dataset,ntrials
0,0.6484375,0.6459179819614295,0.46480572950106913,0.46480572950106913,0.8069765216579275,totalSleepTime,MyTwoStepsNetLSTM_TST_mesa_n500,mesa,500
1,0.3950892857142857,0.1888,0.0,0.0,1.0728378254980766,totalSleepTime,MyTwoStepsNetLSTM_TST_mesa_n500,mesa,500
2,0.5892857142857143,0.5671837673523072,0.38530666140801934,0.38530666140801934,0.8879860355337929,totalSleepTime,MyTwoStepsNetLSTM_TST_mesa_n500,mesa,500
3,0.3950892857142857,0.1888,0.0,0.0,1.0867068404131073,totalSleepTime,MyTwoStepsNetLSTM_TST_mesa_n500,mesa,500
4,0.6071428571428571,0.6091344564513503,0.40056097557128434,0.40056097557128434,0.8153931803138351,totalSleepTime,MyTwoStepsNetLSTM_TST_mesa_n500,mesa,500
5,0.6104910714285714,0.5835641573280853,0.4231649117896074,0.4231649117896074,0.8474661714290399,totalSleepTime,MyTwoStepsNetLSTM_TST_mesa_n500,mesa,500
6,0.6205357142857143,0.63269436426575,0.42039896726803966,0.42039896726803966,0.7728011659623775,totalSleepTime,MyTwoStepsNetLSTM_TST_mesa_n500,mesa,500
7,0.6417410714285714,0.6370241071531709,0.4530770010444748,0.4530770010444748,0.7861003618672464,totalSleepTime,MyTwoStepsNetLSTM_TST_mesa_n500,mesa,500
8,0.6104910714285714,0.6198004003012603,0.40683573519476907,0.40683573519476907,0.800384536911431,totalSleepTime,MyTwoStepsNetLSTM_TST_mesa_n500,mesa,500
9,0.6328125,0.629642125802115,0.44085828751588024,0.44085828751588024,0.7830916410750548,totalSleepTime,MyTwoStepsNetLSTM_TST_mesa_n500,mesa,500
