,acc_awakening,macrof1_awakening,mcc_awakening,average_global,test_loss,sleep_metrics,expname,dataset,ntrials
0,0.6238839285714286,0.4674289227843385,0.35394749080388177,0.35394749080388177,0.7774250254414545,awakening,MyNetMPL_AWE_mesa_n500,mesa,500
1,0.6439732142857143,0.575464548304986,0.36469963413648737,0.36469963413648737,0.7632622892855101,awakening,MyNetMPL_AWE_mesa_n500,mesa,500
2,0.6305803571428571,0.5387203787800803,0.3304222078607893,0.3304222078607893,0.803435323739695,awakening,MyNetMPL_AWE_mesa_n500,mesa,500
3,0.6216517857142857,0.45342040356619745,0.3528948965068068,0.3528948965068068,0.7892890796905133,awakening,MyNetMPL_AWE_mesa_n500,mesa,500
4,0.6339285714285714,0.5751813146293,0.36098895304728346,0.36098895304728346,0.7920365020022294,awakening,MyNetMPL_AWE_mesa_n500,mesa,500
5,0.6316964285714286,0.5412250088625455,0.34079092371468694,0.34079092371468694,0.7790749091240479,awakening,MyNetMPL_AWE_mesa_n500,mesa,500
6,0.6037946428571429,0.40414882934305796,0.2813623087866685,0.2813623087866685,0.7958568490420318,awakening,MyNetMPL_AWE_mesa_n500,mesa,500
7,0.6261160714285714,0.5368563978664015,0.3315889550020142,0.3315889550020142,0.7785113328070316,awakening,MyNetMPL_AWE_mesa_n500,mesa,500
8,0.6015625,0.4014075010803653,0.2750644841561539,0.2750644841561539,0.7965433145005957,awakening,MyNetMPL_AWE_mesa_n500,mesa,500
9,0.6462053571428571,0.5788251495568569,0.37033538010121836,0.37033538010121836,0.7900485818040829,awakening,MyNetMPL_AWE_mesa_n500,mesa,500
