,acc_sleepEfficiency,macrof1_sleepEfficiency,mcc_sleepEfficiency,average_global,test_loss,sleep_metrics,expname,dataset,ntrials
0,0.7834821428571429,0.49150154808238705,0.4950342267982086,0.4950342267982086,0.4825841411623363,sleepEfficiency,MyTwoStepsNetLSTM_EFF_mesa_n500,mesa,500
1,0.7790178571428571,0.4767653919558917,0.4693470259051331,0.4693470259051331,0.5120087309840028,sleepEfficiency,MyTwoStepsNetLSTM_EFF_mesa_n500,mesa,500
2,0.7946428571428571,0.4984943764509658,0.5181869482947659,0.5181869482947659,0.4922303768845084,sleepEfficiency,MyTwoStepsNetLSTM_EFF_mesa_n500,mesa,500
3,0.7767857142857143,0.4833110814419226,0.47597993851945264,0.47597993851945264,0.5033918399465496,sleepEfficiency,MyTwoStepsNetLSTM_EFF_mesa_n500,mesa,500
4,0.78125,0.4883136623748212,0.488414552083166,0.488414552083166,0.5109455595870244,sleepEfficiency,MyTwoStepsNetLSTM_EFF_mesa_n500,mesa,500
5,0.78125,0.48289676336554704,0.4800548895488428,0.4800548895488428,0.5040313025176746,sleepEfficiency,MyTwoStepsNetLSTM_EFF_mesa_n500,mesa,500
6,0.7689732142857143,0.4725850701092522,0.45141696592301883,0.45141696592301883,0.5290720200674822,sleepEfficiency,MyTwoStepsNetLSTM_EFF_mesa_n500,mesa,500
7,0.7767857142857143,0.6056750491826636,0.47783354983978193,0.47783354983978193,0.5020295057252205,sleepEfficiency,MyTwoStepsNetLSTM_EFF_mesa_n500,mesa,500
8,0.7745535714285714,0.46861128725428025,0.4542277937841003,0.4542277937841003,0.5363921581166046,sleepEfficiency,MyTwoStepsNetLSTM_EFF_mesa_n500,mesa,500
9,0.7745535714285714,0.4722645019448673,0.45871348949620205,0.45871348949620205,0.5195607214063981,sleepEfficiency,MyTwoStepsNetLSTM_EFF_mesa_n500,mesa,500
