,acc_totalSleepTime,macrof1_totalSleepTime,mcc_totalSleepTime,average_global,test_loss,sleep_metrics,expname,dataset,ntrials
0,0.7064732142857143,0.7028321833142521,0.5559387740536917,0.5559387740536917,0.6556000739168221,totalSleepTime,MyTwoStepsNetMPL_TST_hchs_n500,hchs,500
1,0.7243303571428571,0.7235838952369086,0.5802763807376118,0.5802763807376118,0.634397415697522,totalSleepTime,MyTwoStepsNetMPL_TST_hchs_n500,hchs,500
2,0.7321428571428571,0.7319179336397094,0.5943136020962443,0.5943136020962443,0.6216318296428824,totalSleepTime,MyTwoStepsNetMPL_TST_hchs_n500,hchs,500
3,0.7209821428571429,0.7176914325619878,0.5774922162741098,0.5774922162741098,0.629723187746639,totalSleepTime,MyTwoStepsNetMPL_TST_hchs_n500,hchs,500
4,0.7087053571428571,0.6955660574769277,0.5679313090012886,0.5679313090012886,0.6550877651100454,totalSleepTime,MyTwoStepsNetMPL_TST_hchs_n500,hchs,500
5,0.7254464285714286,0.7234450111562061,0.5847311837414595,0.5847311837414595,0.6547082112242352,totalSleepTime,MyTwoStepsNetMPL_TST_hchs_n500,hchs,500
6,0.7243303571428571,0.7185805540343074,0.5837814774584698,0.5837814774584698,0.6357462131497152,totalSleepTime,MyTwoStepsNetMPL_TST_hchs_n500,hchs,500
7,0.703125,0.6981880968388285,0.551429455856483,0.551429455856483,0.6618286877131923,totalSleepTime,MyTwoStepsNetMPL_TST_hchs_n500,hchs,500
8,0.6897321428571429,0.6794197482359451,0.5337001319253559,0.5337001319253559,0.6753999257721437,totalSleepTime,MyTwoStepsNetMPL_TST_hchs_n500,hchs,500
9,0.7265625,0.7237358158248147,0.5856818475083433,0.5856818475083433,0.670912916728364,totalSleepTime,MyTwoStepsNetMPL_TST_hchs_n500,hchs,500
