,acc_totalSleepTime,macrof1_totalSleepTime,mcc_totalSleepTime,average_global,test_loss,sleep_metrics,expname,dataset,ntrials
0,0.75,0.7483486968395923,0.621917272181966,0.621917272181966,0.6137253631801164,totalSleepTime,MyNetMPL_TST_hchs_n500,hchs,500
1,0.7466517857142857,0.7473664891662296,0.6149480070113537,0.6149480070113537,0.6111400776284278,totalSleepTime,MyNetMPL_TST_hchs_n500,hchs,500
2,0.7421875,0.7405864214577402,0.609637236961334,0.609637236961334,0.6252488340907515,totalSleepTime,MyNetMPL_TST_hchs_n500,hchs,500
3,0.7388392857142857,0.7405274296081307,0.6033983471854256,0.6033983471854256,0.6204969242929917,totalSleepTime,MyNetMPL_TST_hchs_n500,hchs,500
4,0.7511160714285714,0.7520014605191596,0.6222205373592172,0.6222205373592172,0.6112535735264532,totalSleepTime,MyNetMPL_TST_hchs_n500,hchs,500
5,0.7254464285714286,0.7233109864643029,0.5831677385184604,0.5831677385184604,0.6306780818068234,totalSleepTime,MyNetMPL_TST_hchs_n500,hchs,500
6,0.7444196428571429,0.7445467916670392,0.6125710217292525,0.6125710217292525,0.6135713747675496,totalSleepTime,MyNetMPL_TST_hchs_n500,hchs,500
7,0.7444196428571429,0.7440674780205164,0.6115004961652656,0.6115004961652656,0.6214990304860101,totalSleepTime,MyNetMPL_TST_hchs_n500,hchs,500
8,0.7410714285714286,0.7416360999992713,0.6061632573209706,0.6061632573209706,0.6129952298860469,totalSleepTime,MyNetMPL_TST_hchs_n500,hchs,500
9,0.75,0.7500977120098876,0.6209686960831573,0.6209686960831573,0.6203177268327079,totalSleepTime,MyNetMPL_TST_hchs_n500,hchs,500
