,acc_totalSleepTime,macrof1_totalSleepTime,mcc_totalSleepTime,average_global,test_loss,sleep_metrics,expname,dataset,ntrials
0,0.6752232142857143,0.672794940908113,0.5054886639106062,0.5054886639106062,0.7431476754551517,totalSleepTime,MyTwoStepsNetLSTM_TST_hchs_n500,hchs,500
1,0.6662946428571429,0.6694003411619197,0.4910128877155353,0.4910128877155353,0.745360803992103,totalSleepTime,MyTwoStepsNetLSTM_TST_hchs_n500,hchs,500
2,0.6395089285714286,0.6297246653179935,0.4568147119751705,0.4568147119751705,0.7721427729400328,totalSleepTime,MyTwoStepsNetLSTM_TST_hchs_n500,hchs,500
3,0.6785714285714286,0.670895913796484,0.5151982390544472,0.5151982390544472,0.7186186289465565,totalSleepTime,MyTwoStepsNetLSTM_TST_hchs_n500,hchs,500
4,0.6941964285714286,0.6915808814965424,0.5361937362161776,0.5361937362161776,0.7080163066364378,totalSleepTime,MyTwoStepsNetLSTM_TST_hchs_n500,hchs,500
5,0.6640625,0.661397593114675,0.490089553270005,0.490089553270005,0.7310054363909944,totalSleepTime,MyTwoStepsNetLSTM_TST_hchs_n500,hchs,500
6,0.6595982142857143,0.6474938212145241,0.48827166465392635,0.48827166465392635,0.7352968944344868,totalSleepTime,MyTwoStepsNetLSTM_TST_hchs_n500,hchs,500
7,0.6662946428571429,0.6557751912248431,0.5003945390379505,0.5003945390379505,0.7362286436576111,totalSleepTime,MyTwoStepsNetLSTM_TST_hchs_n500,hchs,500
8,0.6763392857142857,0.6722949037425731,0.5090389300284835,0.5090389300284835,0.7199731925297088,totalSleepTime,MyTwoStepsNetLSTM_TST_hchs_n500,hchs,500
9,0.6316964285714286,0.6163025812782505,0.44579385336318667,0.44579385336318667,0.8951262152134444,totalSleepTime,MyTwoStepsNetLSTM_TST_hchs_n500,hchs,500
