,acc_sleepEfficiency,macrof1_sleepEfficiency,mcc_sleepEfficiency,average_global,test_loss,sleep_metrics,expname,dataset,ntrials
0,0.7890625,0.6251181212683382,0.5059777405896557,0.5059777405896557,0.4797952459635634,sleepEfficiency,MyTwoStepsNetMPL_EFF_mesa_n500,mesa,500
1,0.7979910714285714,0.6860825831973641,0.530595595480381,0.530595595480381,0.47339554488410357,sleepEfficiency,MyTwoStepsNetMPL_EFF_mesa_n500,mesa,500
2,0.7845982142857143,0.5525958131591935,0.4984611616452798,0.4984611616452798,0.4867013785889102,sleepEfficiency,MyTwoStepsNetMPL_EFF_mesa_n500,mesa,500
3,0.7801339285714286,0.647268370796447,0.5059070692976128,0.5059070692976128,0.4855432183445618,sleepEfficiency,MyTwoStepsNetMPL_EFF_mesa_n500,mesa,500
4,0.8024553571428571,0.6559881245385001,0.5423207203297844,0.5423207203297844,0.48039524101898984,sleepEfficiency,MyTwoStepsNetMPL_EFF_mesa_n500,mesa,500
5,0.8080357142857143,0.6717538228585984,0.5578035533860422,0.5578035533860422,0.4636524131810967,sleepEfficiency,MyTwoStepsNetMPL_EFF_mesa_n500,mesa,500
6,0.7823660714285714,0.5935576123224949,0.4776897202741434,0.4776897202741434,0.5002917308984736,sleepEfficiency,MyTwoStepsNetMPL_EFF_mesa_n500,mesa,500
7,0.8024553571428571,0.6507742081500741,0.5370542465510659,0.5370542465510659,0.47026621842736066,sleepEfficiency,MyTwoStepsNetMPL_EFF_mesa_n500,mesa,500
8,0.7857142857142857,0.6007604191128765,0.5102659772438884,0.5102659772438884,0.4949976812146587,sleepEfficiency,MyTwoStepsNetMPL_EFF_mesa_n500,mesa,500
9,0.7935267857142857,0.6614243323442137,0.5133070779908903,0.5133070779908903,0.4816797685128819,sleepEfficiency,MyTwoStepsNetMPL_EFF_mesa_n500,mesa,500
