,acc_awakening,macrof1_awakening,mcc_awakening,average_global,test_loss,sleep_metrics,expname,dataset,ntrials
0,0.6328125,0.5395348085724004,0.33225062726727383,0.33225062726727383,0.7716949619776582,awakening,MyNetLSTM_AWE_hchs_n500,hchs,500
1,0.6183035714285714,0.5229426352152894,0.3032206940617562,0.3032206940617562,0.7783606408138839,awakening,MyNetLSTM_AWE_hchs_n500,hchs,500
2,0.6350446428571429,0.5446824191182928,0.3380797993068607,0.3380797993068607,0.774275377082417,awakening,MyNetLSTM_AWE_hchs_n500,hchs,500
3,0.625,0.5338809760389293,0.31774527297599725,0.31774527297599725,0.7816421004892925,awakening,MyNetLSTM_AWE_hchs_n500,hchs,500
4,0.6183035714285714,0.5119544304888669,0.3047973968551758,0.3047973968551758,0.7945619339765361,awakening,MyNetLSTM_AWE_hchs_n500,hchs,500
5,0.6205357142857143,0.5155959724388585,0.31242077924844713,0.31242077924844713,0.785460197313243,awakening,MyNetLSTM_AWE_hchs_n500,hchs,500
6,0.609375,0.49940618167362355,0.2826358820972951,0.2826358820972951,0.7845927790382785,awakening,MyNetLSTM_AWE_hchs_n500,hchs,500
7,0.6339285714285714,0.5350623003506739,0.331228501123803,0.331228501123803,0.7829147409344693,awakening,MyNetLSTM_AWE_hchs_n500,hchs,500
8,0.5457589285714286,0.23537906137184117,0.0,0.0,0.9796096970773072,awakening,MyNetLSTM_AWE_hchs_n500,hchs,500
9,0.6138392857142857,0.505897586559596,0.29145150312751805,0.29145150312751805,0.7858083737545166,awakening,MyNetLSTM_AWE_hchs_n500,hchs,500
