,acc_awakening,macrof1_awakening,mcc_awakening,average_global,test_loss,sleep_metrics,expname,dataset,ntrials
0,0.6473214285714286,0.5748530201805311,0.36806311818781284,0.36806311818781284,0.7743881534507349,awakening,MyNetCNNLSTM_AWE_mesa_n500,mesa,500
1,0.6316964285714286,0.5434752517359144,0.33794757512852824,0.33794757512852824,0.7780072024163766,awakening,MyNetCNNLSTM_AWE_mesa_n500,mesa,500
2,0.6305803571428571,0.5470872118693696,0.33658726701296454,0.33658726701296454,0.7939643469468697,awakening,MyNetCNNLSTM_AWE_mesa_n500,mesa,500
3,0.6194196428571429,0.5303761690122912,0.3151381708994078,0.3151381708994078,0.7820331653964266,awakening,MyNetCNNLSTM_AWE_mesa_n500,mesa,500
4,0.640625,0.5602707540352664,0.35541396085972765,0.35541396085972765,0.7641581665175187,awakening,MyNetCNNLSTM_AWE_mesa_n500,mesa,500
5,0.6171875,0.5259300909211143,0.30342333324228943,0.30342333324228943,0.7935270184242978,awakening,MyNetCNNLSTM_AWE_mesa_n500,mesa,500
6,0.6127232142857143,0.5024124131933237,0.2848503792577574,0.2848503792577574,0.7975439825875215,awakening,MyNetCNNLSTM_AWE_mesa_n500,mesa,500
7,0.6316964285714286,0.5549137973361236,0.3389088442017537,0.3389088442017537,0.7789097723698079,awakening,MyNetCNNLSTM_AWE_mesa_n500,mesa,500
8,0.6238839285714286,0.5255430840450086,0.31102611829774973,0.31102611829774973,0.7899912097299467,awakening,MyNetCNNLSTM_AWE_mesa_n500,mesa,500
9,0.6261160714285714,0.5533753726029305,0.33046021174746326,0.33046021174746326,0.7809658246138681,awakening,MyNetCNNLSTM_AWE_mesa_n500,mesa,500
