,acc_sleepEfficiency,macrof1_sleepEfficiency,mcc_sleepEfficiency,acc_awakening,macrof1_awakening,mcc_awakening,acc_totalSleepTime,macrof1_totalSleepTime,mcc_totalSleepTime,acc_combined,macrof1_combined,mcc_combined,average_global,test_loss,sleep_metrics,expname,dataset,ntrials
0,0.7823660714285714,0.6236264243333901,0.5088856263632828,0.6517857142857143,0.5863398194432677,0.3893721325106939,0.65625,0.6271595687107115,0.493828795805333,0.7075892857142857,0.6835115983398325,0.5106073571751979,0.4756734779636269,0.6661461598857479,all,MyNetCNNLSTM_ALL_hchs_n500,hchs,500
1,0.8058035714285714,0.5789507933077226,0.5426810872580236,0.6149553571428571,0.5032493280251527,0.3004989555144333,0.6484375,0.6132130493931925,0.493246074331133,0.6997767857142857,0.6747042394015731,0.5023283594765237,0.45968861914502834,0.6659458116512776,all,MyNetCNNLSTM_ALL_hchs_n500,hchs,500
2,0.8091517857142857,0.6567744665265013,0.5580314119289006,0.6417410714285714,0.5572033330654019,0.35432151065413364,0.6607142857142857,0.6424801044018841,0.49234021875507,0.7087053571428571,0.6781129575427939,0.5092247013721867,0.47847946067757274,0.66026073125584,all,MyNetCNNLSTM_ALL_hchs_n500,hchs,500
3,0.8080357142857143,0.6177655215744576,0.5528748705129592,0.6428571428571429,0.5722933395758996,0.36557519112120235,0.6953125,0.686191926229926,0.5407268275545914,0.6908482142857143,0.6599768419229662,0.4840403969298117,0.4858043215296412,0.6727144952403005,all,MyNetCNNLSTM_ALL_hchs_n500,hchs,500
4,0.8236607142857143,0.712436682183213,0.6014009508927429,0.6473214285714286,0.575277577623477,0.3743643548073024,0.6908482142857143,0.6766430106075028,0.5395289115694222,0.7098214285714286,0.6841445842665218,0.5189132015116327,0.508551854695275,0.6285298240302284,all,MyNetCNNLSTM_ALL_hchs_n500,hchs,500
5,0.8102678571428571,0.6891531029462064,0.5640222022642007,0.6395089285714286,0.5513222945124521,0.3555954804854764,0.671875,0.663366653191794,0.5026468535924155,0.6953125,0.6598999785636893,0.4906193504950007,0.47822097170927336,0.6555034042080531,all,MyNetCNNLSTM_ALL_hchs_n500,hchs,500
6,0.8091517857142857,0.6815333955530872,0.5607125293565836,0.6417410714285714,0.5486012979175177,0.3559713213958654,0.6662946428571429,0.660440172052194,0.4917869800699175,0.6986607142857143,0.669439146711874,0.4960670335109651,0.4761344660833329,0.6674436253010141,all,MyNetCNNLSTM_ALL_hchs_n500,hchs,500
7,0.7834821428571429,0.6267202210542807,0.4898916606247079,0.6283482142857143,0.5131019748326477,0.3246315988855681,0.6696428571428571,0.6436683771655477,0.514440131440487,0.6919642857142857,0.6778531166652919,0.4928866079394409,0.455462499722551,0.6682305444791797,all,MyNetCNNLSTM_ALL_hchs_n500,hchs,500
8,0.8058035714285714,0.6774654172244533,0.5460771565658639,0.6395089285714286,0.5524852891637414,0.35314402124348965,0.6529017857142857,0.6307004554868115,0.48764990264991687,0.6875,0.6506749309384695,0.47581412493846326,0.4656713013494334,0.6767112264995726,all,MyNetCNNLSTM_ALL_hchs_n500,hchs,500
9,0.8058035714285714,0.6792207792207791,0.5557008328481785,0.625,0.5255178423426817,0.31633357320412775,0.6573660714285714,0.6473361033062836,0.4835521928986607,0.6975446428571429,0.672276682087302,0.5027753901208232,0.4645904972679475,0.6686144160402014,all,MyNetCNNLSTM_ALL_hchs_n500,hchs,500
