,acc_combined,macrof1_combined,mcc_combined,average_global,test_loss,sleep_metrics,expname,dataset,ntrials
0,0.6696428571428571,0.6502351487550377,0.46060319925014914,0.46060319925014914,0.716860152879405,combined,MyNetMPL_COM_mesa_n500,mesa,500
1,0.6662946428571429,0.6340736972549171,0.4433109598827823,0.4433109598827823,0.742252311906096,combined,MyNetMPL_COM_mesa_n500,mesa,500
2,0.6551339285714286,0.6305109286231926,0.4386630056262314,0.4386630056262314,0.7080171750250316,combined,MyNetMPL_COM_mesa_n500,mesa,500
3,0.6875,0.6531212600911712,0.47495073284325495,0.47495073284325495,0.6938502739587322,combined,MyNetMPL_COM_mesa_n500,mesa,500
4,0.6674107142857143,0.6320805794124625,0.44621710018138094,0.44621710018138094,0.7070802784122117,combined,MyNetMPL_COM_mesa_n500,mesa,500
5,0.6607142857142857,0.6231680077726752,0.44193336288192975,0.44193336288192975,0.7128527626895831,combined,MyNetMPL_COM_mesa_n500,mesa,500
6,0.6540178571428571,0.6226239311660368,0.4326272539638738,0.4326272539638738,0.7272958351753488,combined,MyNetMPL_COM_mesa_n500,mesa,500
7,0.6830357142857143,0.639226953136656,0.4671143485266976,0.4671143485266976,0.6991249452042236,combined,MyNetMPL_COM_mesa_n500,mesa,500
8,0.6863839285714286,0.654917469302521,0.4747580360644451,0.4747580360644451,0.6942375641535107,combined,MyNetMPL_COM_mesa_n500,mesa,500
9,0.6517857142857143,0.6251561650712171,0.4403585684171988,0.4403585684171988,0.7117767752344338,combined,MyNetMPL_COM_mesa_n500,mesa,500
