,acc_sleepEfficiency,macrof1_sleepEfficiency,mcc_sleepEfficiency,average_global,test_loss,sleep_metrics,expname,dataset,ntrials
0,0.7946428571428571,0.492480415567006,0.5110682223696045,0.5110682223696045,0.45676442809528506,sleepEfficiency,MyNetLSTM_EFF_mesa_n500,mesa,500
1,0.8180803571428571,0.6925430849391963,0.5745144927999094,0.5745144927999094,0.46230137040629893,sleepEfficiency,MyNetLSTM_EFF_mesa_n500,mesa,500
2,0.796875,0.49816211934187987,0.521164348319468,0.521164348319468,0.4788940662589491,sleepEfficiency,MyNetLSTM_EFF_mesa_n500,mesa,500
3,0.8024553571428571,0.5335998665654714,0.5401624218309367,0.5401624218309367,0.4589748266304253,sleepEfficiency,MyNetLSTM_EFF_mesa_n500,mesa,500
4,0.8191964285714286,0.6956511089964911,0.5791204009888566,0.5791204009888566,0.4678313571440579,sleepEfficiency,MyNetLSTM_EFF_mesa_n500,mesa,500
5,0.8180803571428571,0.6925927262389918,0.5859997158799339,0.5859997158799339,0.44685916583501656,sleepEfficiency,MyNetLSTM_EFF_mesa_n500,mesa,500
6,0.8069196428571429,0.6715507430169415,0.5553759683504904,0.5553759683504904,0.4588899937154442,sleepEfficiency,MyNetLSTM_EFF_mesa_n500,mesa,500
7,0.8035714285714286,0.5099642664208435,0.5458997490855758,0.5458997490855758,0.483758561699191,sleepEfficiency,MyNetLSTM_EFF_mesa_n500,mesa,500
8,0.8158482142857143,0.6901153283038325,0.5736336645828479,0.5736336645828479,0.45152677659407,sleepEfficiency,MyNetLSTM_EFF_mesa_n500,mesa,500
9,0.8013392857142857,0.5071050666330084,0.5390690571688799,0.5390690571688799,0.46271595548465067,sleepEfficiency,MyNetLSTM_EFF_mesa_n500,mesa,500
