,acc_sleepEfficiency,macrof1_sleepEfficiency,mcc_sleepEfficiency,average_global,test_loss,sleep_metrics,expname,dataset,ntrials
0,0.796875,0.5122020191788224,0.5464450611068385,0.5464450611068385,0.5206623843751143,sleepEfficiency,MyNetCNNLSTM_EFF_hchs_n500,hchs,500
1,0.7779017857142857,0.4943830994555632,0.49912773058681476,0.49912773058681476,0.5490489728047971,sleepEfficiency,MyNetCNNLSTM_EFF_hchs_n500,hchs,500
2,0.7924107142857143,0.6743404749106339,0.5400698356223961,0.5400698356223961,0.4853484015492158,sleepEfficiency,MyNetCNNLSTM_EFF_hchs_n500,hchs,500
3,0.7801339285714286,0.4966891920608611,0.5052935597394729,0.5052935597394729,0.5197576309906335,sleepEfficiency,MyNetCNNLSTM_EFF_hchs_n500,hchs,500
4,0.8024553571428571,0.6593366194134678,0.5362229268261745,0.5362229268261745,0.4806735014303772,sleepEfficiency,MyNetCNNLSTM_EFF_hchs_n500,hchs,500
5,0.8002232142857143,0.6988525247535521,0.5606843021000418,0.5606843021000418,0.4965657173824582,sleepEfficiency,MyNetCNNLSTM_EFF_hchs_n500,hchs,500
6,0.7622767857142857,0.6345025635222007,0.5407941754436512,0.5407941754436512,0.5768069727786755,sleepEfficiency,MyNetCNNLSTM_EFF_hchs_n500,hchs,500
7,0.7678571428571429,0.6015855504151583,0.5166588290780527,0.5166588290780527,0.5110321224282179,sleepEfficiency,MyNetCNNLSTM_EFF_hchs_n500,hchs,500
8,0.7723214285714286,0.6614012207362162,0.5477865516599817,0.5477865516599817,0.49491150308608356,sleepEfficiency,MyNetCNNLSTM_EFF_hchs_n500,hchs,500
9,0.8002232142857143,0.6540442155949168,0.5513541534304368,0.5513541534304368,0.4715910693235002,sleepEfficiency,MyNetCNNLSTM_EFF_hchs_n500,hchs,500
