,acc_combined,macrof1_combined,mcc_combined,average_global,test_loss,sleep_metrics,expname,dataset,ntrials
0,0.6595982142857143,0.6308040775694407,0.43936182089404685,0.43936182089404685,0.6997327518051984,combined,MyNetMPL_COM_hchs_n500,hchs,500
1,0.6763392857142857,0.658174878050143,0.4647484853934758,0.4647484853934758,0.6983628578903708,combined,MyNetMPL_COM_hchs_n500,hchs,500
2,0.6674107142857143,0.6452824508418084,0.4550877802151564,0.4550877802151564,0.7021651501775523,combined,MyNetMPL_COM_hchs_n500,hchs,500
3,0.6662946428571429,0.6415403518356807,0.4565332955441084,0.4565332955441084,0.711027734464483,combined,MyNetMPL_COM_hchs_n500,hchs,500
4,0.6595982142857143,0.6333692899062743,0.4517706581509892,0.4517706581509892,0.7124962953732715,combined,MyNetMPL_COM_hchs_n500,hchs,500
5,0.6517857142857143,0.6283212763257109,0.4340020686172928,0.4340020686172928,0.711730574826883,combined,MyNetMPL_COM_hchs_n500,hchs,500
6,0.6618303571428571,0.6328725817099353,0.4496773194996006,0.4496773194996006,0.7082575658604429,combined,MyNetMPL_COM_hchs_n500,hchs,500
7,0.671875,0.6466189996454942,0.45564787124330863,0.45564787124330863,0.7120573140192781,combined,MyNetMPL_COM_hchs_n500,hchs,500
8,0.6729910714285714,0.6484605604361932,0.4573284633914967,0.4573284633914967,0.7276621950929224,combined,MyNetMPL_COM_hchs_n500,hchs,500
9,0.6573660714285714,0.6410099467602975,0.4393588703313933,0.4393588703313933,0.7049166768934763,combined,MyNetMPL_COM_hchs_n500,hchs,500
