,acc_combined,macrof1_combined,mcc_combined,average_global,test_loss,sleep_metrics,expname,dataset,ntrials
0,0.6316964285714286,0.5555645289656918,0.3784178851325454,0.3784178851325454,0.7422535992051127,combined,MyTwoStepsNetLSTM_COM_hchs_n500,hchs,500
1,0.6350446428571429,0.45007268014292573,0.3645478488010816,0.3645478488010816,0.7786953262710284,combined,MyTwoStepsNetLSTM_COM_hchs_n500,hchs,500
2,0.625,0.587658518158761,0.38572974178540764,0.38572974178540764,0.7408260415717025,combined,MyTwoStepsNetLSTM_COM_hchs_n500,hchs,500
3,0.6372767857142857,0.4487064160227579,0.3704315379763688,0.3704315379763688,0.7466020063211157,combined,MyTwoStepsNetLSTM_COM_hchs_n500,hchs,500
4,0.6116071428571429,0.557579035462012,0.3570717881125712,0.3570717881125712,0.7550691497144648,combined,MyTwoStepsNetLSTM_COM_hchs_n500,hchs,500
5,0.6506696428571429,0.5753802206283516,0.4084719975334741,0.4084719975334741,0.7349089489650444,combined,MyTwoStepsNetLSTM_COM_hchs_n500,hchs,500
6,0.6272321428571429,0.5825188222539216,0.3839744261227662,0.3839744261227662,0.7583823026556245,combined,MyTwoStepsNetLSTM_COM_hchs_n500,hchs,500
7,0.5747767857142857,0.5061021704868731,0.3062981181236909,0.3062981181236909,0.8190971602572529,combined,MyTwoStepsNetLSTM_COM_hchs_n500,hchs,500
8,0.6160714285714286,0.5305415067746023,0.35704672641964746,0.35704672641964746,0.7546951543325735,combined,MyTwoStepsNetLSTM_COM_hchs_n500,hchs,500
9,0.6372767857142857,0.45094819075212217,0.3688972192218663,0.3688972192218663,0.7605182715377534,combined,MyTwoStepsNetLSTM_COM_hchs_n500,hchs,500
