,acc_combined,macrof1_combined,mcc_combined,average_global,test_loss,sleep_metrics,expname,dataset,ntrials
0,0.44642857142857145,0.20576131687242802,0.0,0.0,1.0287046165538969,combined,MyNetCNNLSTM_COM_mesa_n500,mesa,500
1,0.6729910714285714,0.6468689105573445,0.4596519967109264,0.4596519967109264,0.7043152658637583,combined,MyNetCNNLSTM_COM_mesa_n500,mesa,500
2,0.6729910714285714,0.6288797259761382,0.4457963967599323,0.4457963967599323,0.6931647699852085,combined,MyNetCNNLSTM_COM_mesa_n500,mesa,500
3,0.6819196428571429,0.6436313117152281,0.4676798773322865,0.4676798773322865,0.7014736837494218,combined,MyNetCNNLSTM_COM_mesa_n500,mesa,500
4,0.6875,0.6595544175554146,0.47798458500972096,0.47798458500972096,0.7140715942700142,combined,MyNetCNNLSTM_COM_mesa_n500,mesa,500
5,0.671875,0.6406954431746433,0.45118737649740337,0.45118737649740337,0.7596775210885228,combined,MyNetCNNLSTM_COM_mesa_n500,mesa,500
6,0.6841517857142857,0.6498150356566426,0.4711979992400838,0.4711979992400838,0.7001689626052227,combined,MyNetCNNLSTM_COM_mesa_n500,mesa,500
7,0.44642857142857145,0.20576131687242802,0.0,0.0,1.0036152358796115,combined,MyNetCNNLSTM_COM_mesa_n500,mesa,500
8,0.6875,0.6596549793731844,0.47698604114820603,0.47698604114820603,0.8183331544078302,combined,MyNetCNNLSTM_COM_mesa_n500,mesa,500
9,0.6696428571428571,0.621789731091629,0.4448850276199558,0.4448850276199558,0.7045661228406893,combined,MyNetCNNLSTM_COM_mesa_n500,mesa,500
