,acc_awakening,macrof1_awakening,mcc_awakening,average_global,test_loss,sleep_metrics,expname,dataset,ntrials
0,0.5904017857142857,0.5326720804748494,0.29289252297773466,0.29289252297773466,0.9320510493184091,awakening,MyTwoStepsNetCNNLSTM_AWE_hchs_n500,hchs,500
1,0.6227678571428571,0.5276688090011746,0.33371830070997166,0.33371830070997166,0.7992565890975384,awakening,MyTwoStepsNetCNNLSTM_AWE_hchs_n500,hchs,500
2,0.6116071428571429,0.5565167904875098,0.325603386703732,0.325603386703732,0.9633506666459885,awakening,MyTwoStepsNetCNNLSTM_AWE_hchs_n500,hchs,500
3,0.6428571428571429,0.5755170740533585,0.3778838677021425,0.3778838677021425,0.8184399945267108,awakening,MyTwoStepsNetCNNLSTM_AWE_hchs_n500,hchs,500
4,0.6450892857142857,0.5630232657148622,0.3701622308534538,0.3701622308534538,0.8123630538319618,awakening,MyTwoStepsNetCNNLSTM_AWE_hchs_n500,hchs,500
5,0.6383928571428571,0.5741027409663682,0.3684551285161952,0.3684551285161952,0.830499520450948,awakening,MyTwoStepsNetCNNLSTM_AWE_hchs_n500,hchs,500
6,0.640625,0.5426448551448552,0.3588673900955548,0.3588673900955548,0.8008626809243744,awakening,MyTwoStepsNetCNNLSTM_AWE_hchs_n500,hchs,500
7,0.6272321428571429,0.5484782975748276,0.3428556830183972,0.3428556830183972,0.820193867729511,awakening,MyTwoStepsNetCNNLSTM_AWE_hchs_n500,hchs,500
8,0.6261160714285714,0.5750381349397906,0.35087101836176576,0.35087101836176576,0.9369066008567533,awakening,MyTwoStepsNetCNNLSTM_AWE_hchs_n500,hchs,500
9,0.625,0.5610543577189844,0.34288137990705503,0.34288137990705503,0.8785407263349562,awakening,MyTwoStepsNetCNNLSTM_AWE_hchs_n500,hchs,500
