,acc_totalSleepTime,macrof1_totalSleepTime,mcc_totalSleepTime,average_global,test_loss,sleep_metrics,expname,dataset,ntrials
0,0.7455357142857143,0.7455773491592055,0.6133140506573663,0.6133140506573663,0.6289774123580544,totalSleepTime,MyNetLSTM_TST_mesa_n500,mesa,500
1,0.7265625,0.7226175088620663,0.5856068374371151,0.5856068374371151,0.6412692817401044,totalSleepTime,MyNetLSTM_TST_mesa_n500,mesa,500
2,0.7209821428571429,0.7217744620620411,0.5758662940649905,0.5758662940649905,0.6525859722706077,totalSleepTime,MyNetLSTM_TST_mesa_n500,mesa,500
3,0.7321428571428571,0.7309531862314036,0.5934080631046935,0.5934080631046935,0.6451905906095572,totalSleepTime,MyNetLSTM_TST_mesa_n500,mesa,500
4,0.7354910714285714,0.7305929481328364,0.6017222536038654,0.6017222536038654,0.6505193116056723,totalSleepTime,MyNetLSTM_TST_mesa_n500,mesa,500
5,0.7399553571428571,0.7431257221173914,0.6027105561131056,0.6027105561131056,0.6364756572405057,totalSleepTime,MyNetLSTM_TST_mesa_n500,mesa,500
6,0.7410714285714286,0.7373771826746656,0.6099267779257048,0.6099267779257048,0.6506036649830351,totalSleepTime,MyNetLSTM_TST_mesa_n500,mesa,500
7,0.734375,0.7325104598879735,0.5977175307691776,0.5977175307691776,0.6403474193398097,totalSleepTime,MyNetLSTM_TST_mesa_n500,mesa,500
8,0.7399553571428571,0.7408273558579169,0.6032964162147124,0.6032964162147124,0.6284136507080855,totalSleepTime,MyNetLSTM_TST_mesa_n500,mesa,500
9,0.7287946428571429,0.7278230021850546,0.587782505820315,0.587782505820315,0.6415269877493689,totalSleepTime,MyNetLSTM_TST_mesa_n500,mesa,500
