,acc_awakening,macrof1_awakening,mcc_awakening,average_global,test_loss,sleep_metrics,expname,dataset,ntrials
0,0.6160714285714286,0.540032821044743,0.3111128650188953,0.3111128650188953,0.8401988280729961,awakening,MyTwoStepsNetMPL_AWE_hchs_n500,hchs,500
1,0.6216517857142857,0.5498518244311525,0.32360068387612195,0.32360068387612195,0.8207939131274063,awakening,MyTwoStepsNetMPL_AWE_hchs_n500,hchs,500
2,0.6138392857142857,0.5444669351339906,0.3170416931434019,0.3170416931434019,0.8298160263617269,awakening,MyTwoStepsNetMPL_AWE_hchs_n500,hchs,500
3,0.6138392857142857,0.5453796594844743,0.321666330732721,0.321666330732721,0.8354598768843837,awakening,MyTwoStepsNetMPL_AWE_hchs_n500,hchs,500
4,0.6060267857142857,0.528809842469358,0.2996630547983962,0.2996630547983962,0.8249386922637846,awakening,MyTwoStepsNetMPL_AWE_hchs_n500,hchs,500
5,0.6261160714285714,0.576912530122092,0.35369292650989803,0.35369292650989803,0.8419031939507601,awakening,MyTwoStepsNetMPL_AWE_hchs_n500,hchs,500
6,0.5959821428571429,0.5290513856074829,0.2909372343926814,0.2909372343926814,0.8682576365246782,awakening,MyTwoStepsNetMPL_AWE_hchs_n500,hchs,500
7,0.15290178571428573,0.08841561794127138,0.0,0.0,1.1296642796757237,awakening,MyTwoStepsNetMPL_AWE_hchs_n500,hchs,500
8,0.6194196428571429,0.553747203006033,0.3310439191267055,0.3310439191267055,0.854713091175322,awakening,MyTwoStepsNetMPL_AWE_hchs_n500,hchs,500
9,0.6037946428571429,0.5453701449802212,0.2994185325362187,0.2994185325362187,0.8383953619363956,awakening,MyTwoStepsNetMPL_AWE_hchs_n500,hchs,500
