,acc_awakening,macrof1_awakening,mcc_awakening,average_global,test_loss,sleep_metrics,expname,dataset,ntrials
0,0.6372767857142857,0.572739621581637,0.3650817138261043,0.3650817138261043,0.8233715868806895,awakening,MyTwoStepsNetMPL_AWE_mesa_n500,mesa,500
1,0.625,0.5628627816391175,0.3385116007170628,0.3385116007170628,0.8241380769116947,awakening,MyTwoStepsNetMPL_AWE_mesa_n500,mesa,500
2,0.6283482142857143,0.5699943337789294,0.3474785515983546,0.3474785515983546,0.817098845055489,awakening,MyTwoStepsNetMPL_AWE_mesa_n500,mesa,500
3,0.6183035714285714,0.5697010546204201,0.339222442525432,0.339222442525432,0.8277388561278348,awakening,MyTwoStepsNetMPL_AWE_mesa_n500,mesa,500
4,0.6205357142857143,0.5664695867296193,0.34574786559427984,0.34574786559427984,0.8124131221944947,awakening,MyTwoStepsNetMPL_AWE_mesa_n500,mesa,500
5,0.6294642857142857,0.5750562733631126,0.3591085819067664,0.3591085819067664,0.8279160083528035,awakening,MyTwoStepsNetMPL_AWE_mesa_n500,mesa,500
6,0.6283482142857143,0.5598764087124799,0.3348502720003601,0.3348502720003601,0.8081694491724473,awakening,MyTwoStepsNetMPL_AWE_mesa_n500,mesa,500
7,0.6149553571428571,0.5629227462161933,0.3292853720291055,0.3292853720291055,0.8302447076286237,awakening,MyTwoStepsNetMPL_AWE_mesa_n500,mesa,500
8,0.6294642857142857,0.5720850809993532,0.35156591666525455,0.35156591666525455,0.8231558500035577,awakening,MyTwoStepsNetMPL_AWE_mesa_n500,mesa,500
9,0.6183035714285714,0.5491765925085215,0.32763900503399324,0.32763900503399324,0.8316949885849544,awakening,MyTwoStepsNetMPL_AWE_mesa_n500,mesa,500
