,acc_totalSleepTime,macrof1_totalSleepTime,mcc_totalSleepTime,average_global,test_loss,sleep_metrics,expname,dataset,ntrials
0,0.3950892857142857,0.1888,0.0,0.0,1.0863582406899863,totalSleepTime,MyNetCNNLSTM_TST_hchs_n500,hchs,500
1,0.7410714285714286,0.7421094537735243,0.6047459087386216,0.6047459087386216,0.6812263431644318,totalSleepTime,MyNetCNNLSTM_TST_hchs_n500,hchs,500
2,0.7488839285714286,0.7503868848352866,0.616878033230624,0.616878033230624,0.6087673613753548,totalSleepTime,MyNetCNNLSTM_TST_hchs_n500,hchs,500
3,0.3950892857142857,0.1888,0.0,0.0,1.0837839652862056,totalSleepTime,MyNetCNNLSTM_TST_hchs_n500,hchs,500
4,0.7589285714285714,0.7615971087890449,0.6321581138388482,0.6321581138388482,0.6421491656640474,totalSleepTime,MyNetCNNLSTM_TST_hchs_n500,hchs,500
5,0.7410714285714286,0.7415872517876517,0.6053616242311157,0.6053616242311157,0.6248770315569835,totalSleepTime,MyNetCNNLSTM_TST_hchs_n500,hchs,500
6,0.7287946428571429,0.727515919109695,0.5864374830781357,0.5864374830781357,0.6320343696861128,totalSleepTime,MyNetCNNLSTM_TST_hchs_n500,hchs,500
7,0.7477678571428571,0.7520753002437687,0.613974458937107,0.613974458937107,0.6186790939447302,totalSleepTime,MyNetCNNLSTM_TST_hchs_n500,hchs,500
8,0.7410714285714286,0.743498369369683,0.6039971156539731,0.6039971156539731,0.6374797180030117,totalSleepTime,MyNetCNNLSTM_TST_hchs_n500,hchs,500
9,0.7477678571428571,0.7481878018191804,0.6155309994249404,0.6155309994249404,0.7487148202585858,totalSleepTime,MyNetCNNLSTM_TST_hchs_n500,hchs,500
