,acc_sleepEfficiency,macrof1_sleepEfficiency,mcc_sleepEfficiency,average_global,test_loss,sleep_metrics,expname,dataset,ntrials
0,0.8180803571428571,0.7032549003646901,0.588735296865856,0.588735296865856,0.46514488201976795,sleepEfficiency,MyNetLSTM_EFF_hchs_n500,hchs,500
1,0.8169642857142857,0.7145960016319869,0.5910364248981788,0.5910364248981788,0.4916603343274918,sleepEfficiency,MyNetLSTM_EFF_hchs_n500,hchs,500
2,0.8091517857142857,0.6976304831748706,0.5751096304406338,0.5751096304406338,0.5248126422089653,sleepEfficiency,MyNetLSTM_EFF_hchs_n500,hchs,500
3,0.8125,0.7019526010586624,0.5796217250878517,0.5796217250878517,0.7368632538635558,sleepEfficiency,MyNetLSTM_EFF_hchs_n500,hchs,500
4,0.8191964285714286,0.7278224453151304,0.5983239452020063,0.5983239452020063,0.4583048521737033,sleepEfficiency,MyNetLSTM_EFF_hchs_n500,hchs,500
5,0.8091517857142857,0.705110663842181,0.5797202498383952,0.5797202498383952,0.457289735978008,sleepEfficiency,MyNetLSTM_EFF_hchs_n500,hchs,500
6,0.8180803571428571,0.7147521821520252,0.5844934220550787,0.5844934220550787,0.5463868817489457,sleepEfficiency,MyNetLSTM_EFF_hchs_n500,hchs,500
7,0.8258928571428571,0.7218375507361928,0.6020970113894842,0.6020970113894842,0.4528934588903068,sleepEfficiency,MyNetLSTM_EFF_hchs_n500,hchs,500
8,0.8091517857142857,0.7090517762973905,0.5763428308924267,0.5763428308924267,0.5034194818368608,sleepEfficiency,MyNetLSTM_EFF_hchs_n500,hchs,500
9,0.8024553571428571,0.5096893101632438,0.5444756839626204,0.5444756839626204,0.4728896134922364,sleepEfficiency,MyNetLSTM_EFF_hchs_n500,hchs,500
